"","participant_id","other_data_name_1","other_data_interest_1","other_data_name_2","other_data_interest_2","other_data_name_3","other_data_interest_3","other_data_name_4","other_data_interest_4","other_data_name_5","other_data_interest_5","other_data_name_6","other_data_interest_6","other_data_name_7","other_data_interest_7","other_data_name_8","other_data_interest_8","other_data_name_9","other_data_interest_9","other_data_name_10","other_data_interest_10","other_data_name_11","other_data_interest_11","other_data_name_12","other_data_interest_12","other_data_name_13","other_data_interest_13","other_data_name_14","other_data_interest_14","other_data_name_15","other_data_interest_15","other_data_name_16","other_data_interest_16","other_data_name_17","other_data_interest_17","other_data_name_18","other_data_interest_18","other_data_name_19","other_data_interest_19","other_data_name_20","other_data_interest_20"
"38",98,"Personnel record sum of remaining swimmers in relay","Moderately interested","Recent ¨¦volution of personal record (within a year)","Moderately interested","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select"
"39",101,"","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select"
"40",102,"","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select"
"41",105,"","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select"
"42",107,"Curve evolution performance per athlete ","Very interested","Age ","Very interested","At start and each turn: underwater distance and number of dolphin kicks","Extremely interested","Number breath and which side per 50m","Very interested","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select"
"43",110,"","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select"
"44",114,"Flip turn timing","Very interested","Distance at peak swimming speed (25m or 50m)","Very interested","Timing of the different swimming phases (reaction time, flight phase, diving time, swimming time, flip turn time)","Very interested","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select"
"45",115,"","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select"
"46",119,"","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select"
"47",121,"","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select"
